name,mainCategory,subCategory,image,link,ratings,noOfRatings,discountPrice,actualPrice,category,matched_bb_product,match_score
Organic Onion 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000025,4.3,2540,56,70,onion,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Sambhar Small Onion 250g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000026,4.2,4120,38,50,onion,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",210.0
Red Onion 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000027,4.1,3800,45,60,onion,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",210.0
White Onion 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000028,3.9,1120,65,80,onion,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",210.0
Fresho Onion 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000029,4.2,4920,190,250,onion,Idly Dosa Batter,210.0
Spring Onion with Roots 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,https://www.amazon.in/dp/B0000030,4.3,3100,15,20,onion,"2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre",210.0
Organic Red Onion 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000031,4.4,1650,58,75,onion,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Baby Onion 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000032,4.0,1850,28,38,onion,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Fresho Tomato - Local 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000033,4.0,15200,38,55,tomato,Idly Dosa Batter,210.0
Fresho Tomato - Hybrid 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000034,4.1,11400,42,60,tomato,Idly Dosa Batter,210.0
Organic Tomato - Local 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000035,4.3,2850,54,75,tomato,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Cherry Tomato 250g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40015686_7-del-monte-tomato-ketchup-classic-blend-rich-thick-condiment.jpg,https://www.amazon.in/dp/B0000036,4.2,3900,35,45,tomato,"Tomato Ketchup - Classic Blend, Rich & Thick Condiment",210.0
Fresho Tomato - Local 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000037,4.0,4200,20,30,tomato,Idly Dosa Batter,210.0
Fresho Tomato - Hybrid 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000038,4.1,3800,22,32,tomato,Idly Dosa Batter,210.0
Organic Cherry Tomato 250g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000039,4.4,1200,45,60,tomato,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Organic Tomato - Hybrid 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000040,4.3,1950,58,80,tomato,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Safal Frozen Tomato Puree 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg,https://www.amazon.in/dp/B0000041,4.2,2600,28,35,tomato,Frozen Green Peas,210.0
Freshly Picked Vine Tomato 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40015686_7-del-monte-tomato-ketchup-classic-blend-rich-thick-condiment.jpg,https://www.amazon.in/dp/B0000042,4.1,950,45,55,tomato,"Tomato Ketchup - Classic Blend, Rich & Thick Condiment",210.0
Fresho Apple - Royal Gala 4 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000043,4.2,7350,145,180,apple,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",320.0
Apple - Red Delicious 4 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.amazon.in/dp/B0000044,4.1,6200,135,170,apple,"Chocolate Home Treats Pack, 126 g, 18 Units",210.0
Apple - Fuji 4 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.amazon.in/dp/B0000045,4.3,3100,160,200,apple,"Chocolate Home Treats Pack, 126 g, 18 Units",210.0
Apple - Shimla 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40229625_1-timios-fruit-fills-apple-flavour-made-with-healthy-nutritious-ingredients-soft.jpg,https://www.amazon.in/dp/B0000046,4.0,9100,150,190,apple,"Fruit Fills - Apple Flavour, Made With Healthy, Nutritious Ingredients, Soft",210.0
Apple - Green 4 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40222506_1-teamonk-green-tea-apple-cinnamon.jpg,https://www.amazon.in/dp/B0000047,4.2,4200,185,220,apple,Apple Cinnamon Green Tea - Boosts Immunity,320.0
Organic Apple - Shimla 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40212684_1-wellbeing-nutrition-organic-apple-cider-vinegar-with-amla-turmeric-cinnamon-black-pepper-usda-certified.jpg,https://www.amazon.in/dp/B0000048,4.4,1800,199,250,apple,"Organic Apple Cider Vinegar With Amla, Turmeric, Cinnamon & Black Pepper, USDA Certified",320.0
Apple - Kinnaur 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40229625_1-timios-fruit-fills-apple-flavour-made-with-healthy-nutritious-ingredients-soft.jpg,https://www.amazon.in/dp/B0000049,4.2,2600,165,210,apple,"Fruit Fills - Apple Flavour, Made With Healthy, Nutritious Ingredients, Soft",210.0
Imported Royal Gala Apple 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000050,4.3,3800,240,299,apple,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Apple - Granny Smith 4 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.amazon.in/dp/B0000051,4.1,1500,175,215,apple,"Chocolate Home Treats Pack, 126 g, 18 Units",210.0
Fresh Apple Washington Red 4 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000052,4.3,1900,195,240,apple,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Fresho Banana - Robusta 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000053,4.2,12500,55,75,banana,Idly Dosa Batter,210.0
Banana - Yelakki 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000054,4.4,6800,60,80,banana,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Banana - Red 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000055,4.0,1800,75,95,banana,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Organic Banana - Robusta 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000056,4.3,3200,70,90,banana,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Banana - Nendran 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000057,4.1,2100,58,75,banana,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Green Banana Raw 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg,https://www.amazon.in/dp/B0000058,4.0,1500,28,35,banana,Frozen Green Peas,210.0
Banana - Elaichi 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000059,4.3,3400,65,85,banana,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Organic Banana - Yelakki 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1220657_1-bb-combo-royal-organic-wild-honey500gindisecrets-organic-tea-infusion-pure-tulsi34g.jpg,https://www.amazon.in/dp/B0000060,4.5,1600,78,98,banana,"Royal Organic Wild Honey,500g+IndiSecrets Organic Tea-Infusion, Pure Tulsi,34g",320.0
Fresh Banana Robusta 6 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000061,4.2,5100,38,50,banana,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Raw Banana 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1214720_1-slurrp-farm-millet-pancake-combo-banana-chocolate-blueberry-classic-150-g-each.jpg,https://www.amazon.in/dp/B0000062,3.9,1800,45,60,banana,Millet Pancake Combo - Banana+ Chocolate+ Blueberry + Classic (150 g each),210.0
Harvest Gold White Bread 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40108924_9-gooddiet-white-quinoa-grains.jpg,https://www.amazon.in/dp/B0000063,4.3,8500,38,40,bread,White Quinoa Grains,210.0
Britannia 100% Whole Wheat Bread 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40112470_9-happychef-pasta-penne-whole-wheat.jpg,https://www.amazon.in/dp/B0000064,4.4,9200,48,50,bread,100% Durum Whole Wheat Pasta - Penne,380.0
English Oven Brown Bread 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208403_4-gooddiet-multigrain-bread-chips-chilli-orange.jpg,https://www.amazon.in/dp/B0000065,4.2,5300,43,45,bread,Multigrain Bread Chips - Chilli Orange,210.0
Harvest Gold Atta Bread 450g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208403_4-gooddiet-multigrain-bread-chips-chilli-orange.jpg,https://www.amazon.in/dp/B0000066,4.3,4100,42,45,bread,Multigrain Bread Chips - Chilli Orange,210.0
Britannia Multi-Grain Bread 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40204119_2-slurrp-farm-multi-grain-chocolate-cake-mix-wheat-maida-free.jpg,https://www.amazon.in/dp/B0000067,4.5,6100,53,55,bread,Multi Grain Chocolate Cake Mix - Wheat & Maida Free,320.0
English Oven Sandwich Bread 700g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40242232_1-cadbury-oreo-red-velvet-sandwich-biscuit-limited-edition-yuly-treat.jpg,https://www.amazon.in/dp/B0000068,4.3,3800,62,65,bread,"Red Velvet Sandwich Biscuit - Limited Edition, Yummy Treat",210.0
Modern White Bread Daily Fresh 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000069,4.1,2400,33,35,bread,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Britannia Sweet Bread 350g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000070,4.2,3100,38,40,bread,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
English Oven Garlic Bread 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40117362_3-unroll-baguette-garlic-bread.jpg,https://www.amazon.in/dp/B0000071,4.3,1800,48,50,bread,Baguette - Garlic Bread,320.0
Harvest Gold Garlic Loaf 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40167619_6-gooddiet-quinoa-puffs-spicy-garlic.jpg,https://www.amazon.in/dp/B0000072,4.2,1200,43,45,bread,Quinoa Puffs - Spicy Garlic,210.0
The Bread Company Multigrain Loaf 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208403_4-gooddiet-multigrain-bread-chips-chilli-orange.jpg,https://www.amazon.in/dp/B0000073,4.4,950,75,85,bread,Multigrain Bread Chips - Chilli Orange,320.0
Bonn Brown Bread 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208403_4-gooddiet-multigrain-bread-chips-chilli-orange.jpg,https://www.amazon.in/dp/B0000074,4.1,1300,38,40,bread,Multigrain Bread Chips - Chilli Orange,210.0
Amul Butter salted 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202077_1-bb-popular-almondbadam-californian-100g-indian-raisins-100g-cashew-w-320-100g.jpg,https://www.amazon.in/dp/B0000075,4.6,18200,56,58,butter,Almond/Badam Californian 100g + Indian Raisins 100g + Cashew W 320 100g,210.0
Amul Butter salted 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000076,4.7,14500,265,275,butter,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Mother Dairy Classic Butter 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202077_1-bb-popular-almondbadam-californian-100g-indian-raisins-100g-cashew-w-320-100g.jpg,https://www.amazon.in/dp/B0000077,4.4,4100,54,56,butter,Almond/Badam Californian 100g + Indian Raisins 100g + Cashew W 320 100g,210.0
Amul Butter unsalted 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202077_1-bb-popular-almondbadam-californian-100g-indian-raisins-100g-cashew-w-320-100g.jpg,https://www.amazon.in/dp/B0000078,4.5,5200,57,59,butter,Almond/Badam Californian 100g + Indian Raisins 100g + Cashew W 320 100g,210.0
Nutilicious Garlic and Herbs Butter 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40191272_1-wingreens-farms-naan-chips-butter-garlic.jpg,https://www.amazon.in/dp/B0000079,4.2,1100,85,99,butter,Naan Chips - Butter Garlic,320.0
Britannia Salted Butter 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202077_1-bb-popular-almondbadam-californian-100g-indian-raisins-100g-cashew-w-320-100g.jpg,https://www.amazon.in/dp/B0000080,4.4,2800,53,55,butter,Almond/Badam Californian 100g + Indian Raisins 100g + Cashew W 320 100g,210.0
Mother Dairy Butter 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000081,4.5,3100,255,265,butter,Chocolate Home - Treats Pack,210.0
Amul Garlic & Herbs Butter 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40191272_1-wingreens-farms-naan-chips-butter-garlic.jpg,https://www.amazon.in/dp/B0000082,4.5,4600,59,62,butter,Naan Chips - Butter Garlic,320.0
President Salted Butter 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202077_1-bb-popular-almondbadam-californian-100g-indian-raisins-100g-cashew-w-320-100g.jpg,https://www.amazon.in/dp/B0000083,4.6,1900,110,125,butter,Almond/Badam Californian 100g + Indian Raisins 100g + Cashew W 320 100g,210.0
Milky Mist Salted Butter 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202077_1-bb-popular-almondbadam-californian-100g-indian-raisins-100g-cashew-w-320-100g.jpg,https://www.amazon.in/dp/B0000084,4.3,1300,54,58,butter,Almond/Badam Californian 100g + Indian Raisins 100g + Cashew W 320 100g,210.0
Nescafe Classic Instant Coffee 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000085,4.5,12300,310,330,coffee,2-Minute Instant Noodles - Masala,210.0
Bru Instant Coffee 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000086,4.4,9800,280,295,coffee,2-Minute Instant Noodles - Masala,210.0
Nescafe Sunrise Instant Coffee 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000087,4.3,6500,520,550,coffee,2-Minute Instant Noodles - Masala,210.0
Davidoff Rich Aroma Instant Coffee 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000088,4.7,4200,560,595,coffee,2-Minute Instant Noodles - Masala,210.0
